date,text,true_topic,text_nouns,topic
2024-01-05,금리 인상과 환율 변동으로 국내 증시가 큰 폭으로 출렁였다. 반도체 수출 회복 기대감에 기업 실적 전망이 개선됐다.,경제,금리 인상 환율 변동 증시 반도체 수출 회복 기대감 실적 전망,0
2024-01-12,보건 당국은 독감 환자 증가에 따라 고위험군 백신 접종을 권고했다. 대학병원 연구팀은 새로운 항암 치료제의 임상 결과를 공개했다.,건강,보건 독감 환자 증가 고위험군 백신 접종 권고 대학 병원 항암 치료제 임상,1
2024-01-18,반도체 수출 회복 기대감에 기업 실적 전망이 개선됐다. 소비자 물가 상승률이 둔화되며 기준금리 동결 가능성이 커졌다.,경제,반도체 수출 회복 기대감 실적 전망 소비자 물가 상승 둔화 금리 동결 가능,0
2024-02-02,소비자 물가 상승률이 둔화되며 기준금리 동결 가능성이 커졌다. 대기업의 설비 투자가 확대되면서 고용 지표가 개선됐다.,경제,소비자 물가 상승 둔화 금리 동결 가능 설비 투자 고용 지표,0
2024-02-08,국회는 민생 법안을 두고 여야 협상을 이어갔지만 합의에 이르지 못했다. 정부는 지방 재정 지원 확대와 행정 개편 방안을 발표했다.,정치,국회 민생 법안 여야 협상 합의 정부 지방 재정 지원 행정 방안,2
2024-02-15,대학병원 연구팀은 새로운 항암 치료제의 임상 결과를 공개했다. 응급실 과밀 문제를 줄이기 위해 지역 의료 전달 체계가 개편된다.,건강,대학 병원 항암 치료제 임상 응급실 과밀 지역 의료 전달 체계,1
2024-02-20,대기업의 설비 투자가 확대되면서 고용 지표가 개선됐다. 국제 유가 하락으로 항공과 물류 업종의 비용 부담이 줄었다.,경제,설비 투자 고용 지표 국제 유가 하락 항공 물류 업종 비용 부담,0
2024-03-01,정부는 지방 재정 지원 확대와 행정 개편 방안을 발표했다. 대통령은 국무회의에서 규제 완화와 산업 경쟁력 강화를 주문했다.,정치,정부 지방 재정 지원 행정 방안 대통령 국무 회의 규제 완화 산업 경쟁력 주문,2
2024-03-04,국제 유가 하락으로 항공과 물류 업종의 비용 부담이 줄었다. 금리 인상과 환율 변동으로 국내 증시가 큰 폭으로 출렁였다.,경제,국제 유가 하락 항공 물류 업종 비용 부담 금리 인상 환율 변동 증시,0
2024-03-10,프로야구 선발 투수가 무실점 호투로 팀의 연승을 이끌었다. 축구 대표팀은 후반 추가 시간 결승골로 극적인 승리를 거뒀다.,스포츠,프로 야구 선발 투수 실점 호투 연승 축구 대표 후반 추가 시간 결승 승리,3
