text,true_topic
금리 인상과 환율 변동으로 국내 증시가 큰 폭으로 출렁였다. 반도체 수출 회복 기대감에 기업 실적 전망이 개선됐다.,경제
소비자 물가 상승률이 둔화되며 기준금리 동결 가능성이 커졌다. 대기업의 설비 투자가 확대되면서 고용 지표가 개선됐다.,경제
국제 유가 하락으로 항공과 물류 업종의 비용 부담이 줄었다. 금리 인상과 환율 변동으로 국내 증시가 큰 폭으로 출렁였다.,경제
반도체 수출 회복 기대감에 기업 실적 전망이 개선됐다. 소비자 물가 상승률이 둔화되며 기준금리 동결 가능성이 커졌다.,경제
대기업의 설비 투자가 확대되면서 고용 지표가 개선됐다. 국제 유가 하락으로 항공과 물류 업종의 비용 부담이 줄었다.,경제
금리 인상과 환율 변동으로 국내 증시가 큰 폭으로 출렁였다. 소비자 물가 상승률이 둔화되며 기준금리 동결 가능성이 커졌다.,경제
반도체 수출 회복 기대감에 기업 실적 전망이 개선됐다. 대기업의 설비 투자가 확대되면서 고용 지표가 개선됐다.,경제
국제 유가 하락으로 항공과 물류 업종의 비용 부담이 줄었다. 반도체 수출 회복 기대감에 기업 실적 전망이 개선됐다.,경제
소비자 물가 상승률이 둔화되며 기준금리 동결 가능성이 커졌다. 국제 유가 하락으로 항공과 물류 업종의 비용 부담이 줄었다.,경제
대기업의 설비 투자가 확대되면서 고용 지표가 개선됐다. 금리 인상과 환율 변동으로 국내 증시가 큰 폭으로 출렁였다.,경제
프로야구 선발 투수가 무실점 호투로 팀의 연승을 이끌었다. 축구 대표팀은 후반 추가 시간 결승골로 극적인 승리를 거뒀다.,스포츠
농구 챔피언결정전에서 주전 가드가 득점과 도움을 모두 책임졌다. 감독은 젊은 선수들의 수비 집중력이 승부를 갈랐다고 평가했다.,스포츠
리그 선두 팀은 원정 경기 승리로 플레이오프 진출을 확정했다. 프로야구 선발 투수가 무실점 호투로 팀의 연승을 이끌었다.,스포츠
축구 대표팀은 후반 추가 시간 결승골로 극적인 승리를 거뒀다. 농구 챔피언결정전에서 주전 가드가 득점과 도움을 모두 책임졌다.,스포츠
감독은 젊은 선수들의 수비 집중력이 승부를 갈랐다고 평가했다. 리그 선두 팀은 원정 경기 승리로 플레이오프 진출을 확정했다.,스포츠
